EDF File,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
Subject12_1.edf,1.082977941,1.102701129,1.011339908,0.85817551,1.097610101,1.043256509,1.002991768,0.76734911,0.8964565,0.878357348,1.020157101,0.862833073,0.808702172,0.852591344,0.701379487,0.810373163,0.918003088,0.899117213,0.795381502,1.014901483,0.836188683
Subject11_1.edf,1.215974742,1.133311728,0.961864859,0.997789341,1.048237387,1.044445767,1.047417976,1.085134154,1.136466201,1.086799314,1.092870725,1.02739055,1.074438386,1.211275333,0.949080336,0.976756308,1.01563871,1.00146124,0.999889079,1.008665303,1.171592905
Subject01_1.edf,0.928584301,0.9117661,0.971291792,0.876161219,0.977961297,1.069856929,0.985494616,0.97549826,0.97850807,0.849673766,1.117067432,1.001804035,0.950642156,0.811139495,0.906642387,0.773277063,0.85124294,0.89874971,1.009953051,1.159953644,1.015023113
Subject13_1.edf,1.047599377,1.088188798,0.945611076,1.072513323,1.197359382,1.225749277,1.266693899,1.188157222,1.050729034,1.162210371,1.043428932,1.113433342,1.157004398,1.046168874,1.116403521,1.235886056,1.009717318,1.066769023,1.053532408,1.181203255,1.251166413
Subject10_1.edf,1.118940537,1.315451652,1.027453558,1.036180179,1.193156291,0.984416462,0.97579241,0.979018493,1.016714156,0.966488583,1.012310234,0.895281058,0.900828121,0.871818174,1.009213802,0.952268593,1.003714895,1.0304118,0.893350893,1.211150049,0.723227206
Subject14_1.edf,1.248857223,1.332268403,0.927899867,0.918954035,1.340657107,1.362823905,1.241524048,0.98589755,0.948153073,0.966879815,2.041348655,0.89832217,0.816016746,0.870072458,0.7944089,0.829519998,0.960262205,0.979044905,0.819024765,0.930037688,0.883149043
Subject18_1.edf,0.946386242,0.883574219,0.872042396,0.839037533,1.137872879,0.954324965,1.007871981,0.867300291,0.861530243,0.857793267,1.032337897,0.934224377,0.860466007,0.839608988,0.872782179,0.832041599,0.863428369,0.879849252,0.853881252,0.9441452,0.78092848
Subject02_1.edf,0.839762907,1.145134325,0.949237777,1.067892461,0.896044779,1.022633506,1.044504609,1.132238113,1.064015603,1.016629564,0.97884141,1.075120561,1.013550357,0.900651343,0.929363029,0.864690607,0.970037084,0.988814684,1.010197347,0.962245939,1.040037972
Subject15_1.edf,0.783260784,0.984707917,0.750625829,0.705187675,0.99623546,0.91944535,0.755310827,0.854672203,0.690795046,0.716763301,0.725078227,0.647053903,0.558000904,0.564394467,0.552501564,0.562125594,0.694740934,0.694185528,0.54869597,1.141072677,0.696673951
Subject16_1.edf,1.144716009,1.151222421,0.939125883,0.960771743,1.142426964,1.119169804,0.984375069,1.079577241,0.887097878,0.929284882,0.950836757,1.052878954,0.845132547,0.854708343,0.73951953,0.786462254,0.93898087,0.896606762,0.837309292,1.149517365,0.707193156
Subject19_1.edf,0.796149733,0.846352646,0.734623641,0.783770978,0.80955885,0.770634789,0.767005605,0.867190708,0.702030518,0.733808131,0.780869819,0.715171457,0.606127802,0.638370489,0.637855454,0.678097328,0.755936844,0.736488472,0.619393503,0.8938716,0.817945008
Subject25_1.edf,1.413644132,1.294530684,0.847131232,0.820398254,1.148990512,1.156582039,0.767156262,0.971944786,0.631084503,0.685822553,0.709406391,0.75209146,0.538671274,0.556908869,0.62653144,0.596942644,0.795486337,0.644111974,0.545717587,0.927844656,0.709713309
Subject26_1.edf,1.05968789,1.017453432,0.844280797,0.846291564,1.015532615,0.958748077,0.838673393,0.855553496,0.821227544,0.85488163,0.787879271,0.806712363,0.679719383,0.711798151,0.597128355,0.603067875,0.852002838,0.816231227,0.735086305,0.959876556,0.787830816
Subject24_1.edf,1.075740218,1.043116954,0.867346814,0.920605201,1.093079592,1.085295717,0.976576064,1.027443695,0.882920483,0.886422864,0.936195621,0.843897477,0.749806015,0.689397917,0.707167865,0.654815114,0.874455183,0.878268989,0.703428031,1.125129291,0.71356143
Subject20_1.edf,0.87428607,0.956637494,0.873394627,0.758684505,0.812135383,0.844201761,1.186981737,0.805980842,0.787938537,0.801836687,0.746829134,0.763703671,0.721407463,0.687436401,0.668857729,0.680541683,0.885769409,0.763516711,0.743216663,0.997480031,0.730566255
Subject21_1.edf,0.898854526,0.997701972,0.759635014,0.753913647,0.872682111,0.899450673,0.775546267,0.779303311,0.754578057,0.75340493,0.796304249,0.755189415,0.721780992,0.729591188,0.65352317,0.67053426,0.782810759,0.745300551,0.716804274,0.81054264,0.810939679
Subject29_1.edf,0.900102783,0.820103367,0.696135702,0.688767603,0.828311045,0.841082594,0.708549513,0.654287665,0.661095557,0.632009132,0.678705656,0.56128432,0.582635749,0.595055278,0.548815897,0.517868386,0.661429774,0.641512974,0.554196679,0.794861284,0.870097288
Subject32_1.edf,0.77697033,0.828536899,0.740745061,0.735823594,0.904741915,0.966463389,0.734986869,0.669845259,0.715600113,0.698571374,0.816967664,0.630246635,0.738537246,0.678815633,0.826378373,0.81235927,0.723488297,0.722916353,0.721394036,0.855198655,0.681425294
Subject28_1.edf,0.823475228,0.754476828,0.773402036,0.749975427,0.763018243,0.878415389,0.709325556,0.765864018,0.72193426,0.711065827,0.664230076,0.859443696,0.657705232,0.650054229,0.61035569,0.580752209,0.78911423,0.738814325,0.679118507,0.813979169,0.899094676
Subject03_1.edf,0.958075945,0.82471589,0.717107518,0.725523694,0.89615009,0.818614537,0.856840971,0.750964276,0.712900113,0.692068124,0.733859664,0.678500927,0.667422222,0.638379906,0.592770403,0.633883119,0.700007195,0.661068927,0.607821437,0.79077967,0.787678771
Subject30_1.edf,0.802627193,0.790958727,0.786582183,0.761337191,0.865139972,0.919113234,0.835330578,0.907126669,0.72338301,0.788160165,0.831416756,0.832626906,0.674803356,0.633077062,0.67557096,0.642467803,0.823826521,0.757686634,0.657177209,0.895245765,0.724312056
Subject27_1.edf,1.029549628,0.940829469,0.828531359,0.844244969,1.007425052,0.910138231,0.862625225,0.85889337,0.83782393,0.798705876,0.877413496,0.828371165,0.809054741,0.770829192,0.740664605,0.731197132,0.81307722,0.800012706,0.790130775,0.870507786,0.804713563
Subject06_1.edf,1.024536206,1.019716513,1.037840361,0.905412372,1.146969971,0.969404778,1.053677641,0.850267338,0.920558116,1.010234463,1.02305277,0.807430839,0.909586656,0.828320445,0.963937179,0.882141176,0.936068251,0.916880301,0.86677389,0.987944936,0.960988217
Subject04_1.edf,0.911872333,1.105471242,0.860018857,0.871629654,0.944913584,1.17581264,1.053971205,0.910099109,0.831932545,0.842945772,1.014883783,1.051698885,0.801807624,0.770152064,0.725664572,0.912987343,0.842349069,0.851594988,0.752236068,1.057743625,0.893689346
Subject34_1.edf,0.90707866,0.941963291,0.80784546,0.794385637,0.926125364,0.883179664,0.729691142,0.798654765,0.800185988,0.769144653,0.76981358,0.812610154,0.742083114,0.783537574,0.798685808,0.922951814,0.799829551,0.812076764,0.760725643,1.10569108,0.825963804
Subject35_1.edf,0.982715453,0.97737774,0.986459921,0.974212726,1.062781639,0.985396795,0.972945632,1.138127407,1.00448342,1.02471453,1.004889379,1.090155879,0.962807187,1.009706356,0.824667327,0.902857114,0.955362486,1.122976455,0.988241613,1.047919135,0.70151619
Subject33_1.edf,0.868040878,0.857577327,0.779547709,0.791539308,0.939410943,0.79856346,0.770197058,0.826412641,0.714627111,0.735301819,0.715283874,0.600805739,0.580611229,0.56327451,0.52522341,0.544387935,0.756330584,0.755056708,0.57224309,0.899910957,0.717185529
Subject07_1.edf,1.074138491,1.124099542,0.983593252,0.936416335,1.175321025,1.117139448,0.965371445,1.052738304,0.913527432,0.8553764,0.989820292,0.925550131,0.822925811,0.821744616,0.827504243,0.834095624,0.860616025,0.838747444,0.762357871,1.114826083,0.82679849
Subject05_1.edf,1.173068577,0.922192557,0.923136769,0.852104305,1.174480778,1.099898594,0.958678445,0.918929307,0.815586667,0.775744477,0.917215216,0.745721685,0.674127059,0.639451475,0.575457207,0.568727963,0.919916767,0.810522508,0.704051928,0.906218278,0.704210846
Subject09_1.edf,1.095226262,1.076094311,0.953350055,0.954510043,1.151696845,1.03934148,1.191496215,1.206029915,0.949162092,0.910445268,1.161339151,0.876481284,0.868847312,0.813598999,0.804892691,0.769058469,0.901801291,0.879299393,0.804534031,1.022691602,0.68357054
Subject08_1.edf,0.970059529,1.055769251,0.792939263,0.886916018,0.871173332,1.014950934,0.893895364,0.850425037,0.802355923,0.805135347,0.922557427,0.795632328,0.719245818,0.721084951,0.671695106,0.703845428,0.786832784,0.796594378,0.703027852,1.013628756,0.712524318
Subject31_1.edf,1.197702281,1.21982252,0.982034308,0.956583675,1.109153087,1.142076872,0.923955651,1.044577477,0.887874946,1.015884209,1.097225289,1.023587482,0.925333195,0.885730642,0.801255349,0.738039081,0.983490096,0.904318265,0.935651842,1.074360053,0.845531341
Subject17_1.edf,1.023095283,1.11283561,0.964718252,0.975216262,1.077404227,1.178227214,1.0653136,1.00071534,0.962326814,0.985104458,1.096604582,0.919331116,0.923356824,0.926212321,0.827698419,0.861169455,0.981520891,0.994884358,0.932765834,1.125278776,0.867100454
Subject22_1.edf,0.761199465,0.722671934,0.718645457,0.663114339,0.811701868,0.73904616,0.72189965,0.90131267,0.763935342,0.704851603,0.740317409,0.824228018,0.632754668,0.639458606,0.53469007,0.624837091,0.732790681,0.721830445,0.621580723,0.803431322,0.671222649
Subject00_1.edf,0.705736622,0.766600329,0.702065336,0.709408847,0.849432028,0.785000941,0.735575572,0.669965031,0.718316287,0.699958791,0.694923784,0.626629215,0.650020836,0.603115943,0.633202337,0.558218992,0.707217284,0.722773102,0.651162648,0.660110184,0.699804561
Subject23_1.edf,0.816796926,1.011723382,0.735626596,0.726525983,0.65357055,0.870410361,0.671338163,0.816159333,0.700437237,0.705430259,0.668652494,0.667367295,0.653161065,0.641630375,0.555929434,0.551361063,0.710718513,0.700287164,0.638030741,0.764486586,0.693806875
Subject11_2.edf,1.189932469,1.078213456,1.004228735,1.097222913,1.073479899,1.178496369,1.046503832,1.225098228,1.08891901,1.09336283,1.128176429,1.140795301,1.18047973,1.152132907,1.167134758,1.202463268,1.107725258,1.108553387,1.18459293,0.930114825,0.796460058
Subject12_2.edf,0.981867048,0.981887194,0.998248767,0.925552301,0.91767225,1.030343871,0.938898715,0.912395764,0.895324325,0.786947895,0.957986461,0.743992684,0.747093641,0.708302888,0.585049239,0.656684247,0.96045892,0.892552795,0.648494756,0.940282101,0.839994881
Subject10_2.edf,1.096264926,1.159607388,0.959531089,0.949594877,1.080893715,1.172419184,0.835462359,0.905938906,0.784735453,0.794980021,0.815296199,0.74996547,0.629229997,0.625158325,0.580737549,0.571667122,0.964977498,0.862573991,0.621966389,0.795059578,0.818462502
Subject02_2.edf,0.850212562,0.993801333,0.931373826,0.998854188,0.881411779,1.049571317,0.992675704,1.00898219,1.001789693,0.940627621,1.014186859,1.069528713,0.912214159,0.944384835,0.856890176,0.799394143,0.986138857,0.945309722,0.892372846,1.104249329,0.818271259
Subject18_2.edf,0.917661263,0.910828746,0.89501785,0.864989319,0.933572323,0.839856524,0.968985968,0.915520313,0.764953051,0.984326668,1.395347632,1.006624616,0.961089144,0.992324777,0.988619244,1.034558278,0.832440231,0.980607922,1.00882296,0.964275559,0.797767528
Subject16_2.edf,1.016368293,1.087858807,1.112651275,1.061696819,1.056209696,1.065923579,1.093378813,1.03378811,1.093654415,1.081007869,1.069703204,1.049370941,1.039962998,1.050332269,0.935389534,0.955590737,1.094766036,1.054279061,0.984094325,1.157935382,0.843486208
Subject19_2.edf,0.906689919,0.874556418,0.945839408,0.943951163,1.167594991,1.087573014,0.957574213,0.895017913,0.939456141,0.958925401,0.998468394,0.901441541,0.911822605,0.869271175,0.867314439,0.931273118,0.930357461,0.908495186,0.911281522,0.884602098,0.798954879
Subject17_2.edf,1.338869068,1.279383828,1.134759557,1.04494988,1.144779482,1.169026794,0.987525232,0.902188365,0.944699867,0.969264325,1.098251386,0.805540968,0.893142709,0.862720447,0.780698503,0.841316026,1.009583481,0.954493988,0.948031733,0.904885249,0.800910647
Subject21_2.edf,1.061588486,1.046970163,0.749558557,0.742249747,0.864882138,0.878064593,0.737875829,0.749839118,0.740248687,0.754042978,0.715913259,0.744523004,0.73294484,0.755419044,0.703929813,0.749291337,0.787243875,0.765353908,0.772072439,0.816982484,0.863378778
Subject23_2.edf,0.878029056,1.048305081,0.765584471,0.773307346,0.753342565,0.931380536,0.82280161,0.842639277,0.783971252,0.763941323,0.730166114,0.796062086,0.705246399,0.745089696,0.592923712,0.585973274,0.761437085,0.755906266,0.698350431,0.840492479,0.741992398
Subject26_2.edf,1.614239554,2.798054286,1.086982652,1.105800676,1.255463761,2.484056064,0.941599017,1.020021482,0.952286138,0.921910946,0.889110433,0.886098939,0.805245224,0.842698637,0.671873658,0.650981246,1.046951624,0.91559634,0.840823122,1.057462897,0.820441827
Subject22_2.edf,1.276240469,1.082446401,0.793084512,0.743464189,0.996786105,0.9455774,0.845098184,0.939358548,0.775032301,0.780417344,0.885491138,0.869826215,0.886385231,0.776021722,0.705378782,0.723435465,0.79516219,0.785743901,0.780080617,0.868288919,0.653647271
Subject25_2.edf,1.409300872,1.249265003,0.766280733,0.750209762,0.988667695,1.144528441,0.727763603,0.969275022,0.603468266,0.659676798,0.675857317,1.003416817,0.515565366,0.536643265,0.585553012,0.59381246,0.742834582,0.607940645,0.537906161,0.895454308,0.690638711
Subject24_2.edf,1.479354099,1.127201825,1.02630047,1.022499412,1.200184937,1.33331104,1.063352065,1.382335133,1.050627075,1.025704483,0.933681688,1.135673715,0.858045879,0.764414596,1.048920995,0.764391125,1.049050428,1.04001107,0.797562066,1.063705806,0.709477516
Subject32_2.edf,1.066135943,0.995953177,1.166568352,0.904336034,1.081756847,1.085803557,0.997013069,0.879450792,0.984095842,0.85592324,0.997764535,0.771902132,0.935607327,0.830448842,0.937490719,0.936412532,0.926919237,0.897736427,0.896316522,0.94223368,0.776923927
Subject30_2.edf,1.193602887,1.21410338,0.988821404,0.955423652,1.150132006,1.248934504,0.907695118,0.897429506,0.777597035,0.887888652,0.963552854,0.874117636,0.778515455,0.991948157,0.804967964,0.754948238,0.973360254,0.836448545,0.772574486,1.02431209,0.784297681
Subject33_2.edf,0.968414373,0.980003984,0.873955194,0.870861218,1.009472951,1.004971659,0.904833575,0.841096995,0.855730388,0.845736253,0.917465416,0.755069879,0.825770557,0.780162725,0.748402346,0.743760123,0.87168762,0.885684255,0.816286462,1.016078073,0.724452919
Subject27_2.edf,1.142681484,0.986948597,1.029906832,1.066088163,1.115638461,1.1081884,1.037578033,1.115867953,1.088593301,1.044074743,1.19913735,1.195797193,1.024800016,1.099499849,0.998593452,0.942468154,1.002148942,1.012050286,1.108256925,1.053219792,0.832254097
Subject28_2.edf,0.901742951,0.929963013,0.848607907,0.8745806,0.946747052,0.915563404,0.843508966,0.835999124,0.774736269,0.765160343,0.766671759,0.801613861,0.759598767,0.772076546,0.74585863,0.712038692,0.831777515,0.793936415,0.775483983,0.980211253,0.864769277
Subject29_2.edf,1.010095022,0.973433083,0.821499122,0.782639664,1.044893091,0.946643252,0.842837014,0.76435603,0.747024269,0.692402207,0.768584043,0.685828458,0.633062064,0.665994326,0.575635413,0.577079136,0.751486472,0.703354613,0.597795946,0.936372871,0.920274531
Subject07_2.edf,1.281731829,1.323354965,1.20519172,1.187150413,1.368223416,1.175471588,1.269755215,1.06932902,1.16880599,1.055962866,1.019399998,1.035307538,0.990267395,0.955885397,1.136633861,0.906524649,1.15263223,1.073548278,0.932129934,1.077424857,0.858148083
Subject34_2.edf,1.059330149,0.976672968,0.843871111,0.867432695,0.874990612,1.161934646,0.722526124,0.834481679,0.831156788,0.779218216,0.797733849,0.844616746,0.814992123,0.85186655,0.900502866,0.912967285,0.951546334,0.857399622,0.838996597,0.923703526,0.761262252
Subject08_2.edf,1.166301625,1.148550618,0.864342273,0.937615123,1.010649387,0.999502676,0.949374859,0.846635451,0.860600464,0.825531981,0.989025503,0.906079195,0.807251717,0.755417649,0.791407506,0.787735977,0.849547031,0.855389712,0.762149593,0.760269905,0.691051204
