EDF File,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
Subject12_1.edf,0.124899465,0.124342286,0.116517431,0.121446063,0.127727994,0.139295471,0.11875098,0.172493502,0.111525071,0.115516282,0.127735178,0.111079244,0.133806694,0.109782862,0.118059274,0.108603488,0.125739933,0.108008447,0.109240404,0.179941667,0.117682765
Subject11_1.edf,0.081397067,0.107344332,0.114705629,0.108817435,0.102839357,0.11229195,0.12087602,0.126116562,0.099773631,0.106280115,0.112318488,0.119467116,0.106277318,0.091744571,0.112873819,0.1087442,0.106514149,0.107846305,0.105648847,0.123686286,0.085447256
Subject01_1.edf,0.140114481,0.138218559,0.140984311,0.122745219,0.140723757,0.11040187,0.258304865,0.110682908,0.147927061,0.129197444,0.162104069,0.116879674,0.132821817,0.134072137,0.111136866,0.137207111,0.131128392,0.124114735,0.090534124,0.159556406,0.126020752
Subject13_1.edf,0.123916814,0.130464447,0.138183127,0.12705369,0.087870267,0.113199857,0.086136044,0.103453564,0.110193148,0.125429464,0.138077197,0.157146578,0.121529161,0.115599084,0.118664666,0.130984978,0.116478105,0.111879249,0.111659676,0.131788575,0.136873979
Subject10_1.edf,0.082953442,0.062032427,0.092881499,0.098522376,0.076017992,0.114601775,0.09819354,0.10050393,0.098694314,0.093389792,0.10355251,0.124594274,0.104423545,0.098990874,0.085469035,0.091740409,0.092261342,0.094569011,0.097298137,0.099032916,0.138877145
Subject14_1.edf,0.112783676,0.078259494,0.105809804,0.112768616,0.098415472,0.089802885,0.086830445,0.10937786,0.107285581,0.111317518,0.063791803,0.127225432,0.125971275,0.126226085,0.137197447,0.134592103,0.099340195,0.106734214,0.140964981,0.116812464,0.137435525
Subject18_1.edf,0.127344178,0.116958836,0.119411328,0.136081456,0.099003287,0.114817126,0.115335572,0.120198213,0.117527212,0.114732461,0.114012378,0.125832668,0.122560573,0.115006124,0.115594751,0.118872555,0.133173524,0.116566144,0.11387222,0.115110315,0.126675557
Subject02_1.edf,0.258232548,0.123958306,0.142158693,0.148532564,0.22864027,0.167645372,0.147697985,0.133175115,0.118967085,0.121255262,0.142560445,0.116292245,0.124188156,0.119627027,0.149447009,0.111742025,0.119582223,0.115796359,0.120674135,0.174813182,0.163582113
Subject15_1.edf,0.122511747,0.072936856,0.124925076,0.119797472,0.092337178,0.092764649,0.118353075,0.100519607,0.124621638,0.11183939,0.116294991,0.133237085,0.130780519,0.128567353,0.129040772,0.131802875,0.121222816,0.132176952,0.127972169,0.092664124,0.130584364
Subject16_1.edf,0.086743482,0.081135439,0.112618894,0.11656709,0.088804107,0.101825592,0.122844736,0.141745332,0.118942099,0.115633155,0.124596976,0.15362279,0.116191993,0.11016947,0.116318357,0.108678341,0.111815024,0.118521214,0.111920633,0.110501109,0.119829487
Subject19_1.edf,0.157363148,0.146245518,0.151712239,0.146443614,0.15651502,0.163126722,0.142641642,0.161298295,0.144936628,0.150363826,0.131806951,0.129506949,0.139376823,0.132416772,0.141499444,0.136082714,0.146107627,0.158000298,0.135984652,0.188355651,0.141911586
Subject25_1.edf,0.057431198,0.052347698,0.107476069,0.104385119,0.109261603,0.090132899,0.127723706,0.112041727,0.1220607,0.106954058,0.124253947,0.119598697,0.124585023,0.1208772,0.12662761,0.125067393,0.103896975,0.115697086,0.122232493,0.154683839,0.188218662
Subject26_1.edf,0.091663534,0.098132676,0.101656785,0.105640453,0.092328315,0.08913347,0.112830568,0.107152796,0.103739537,0.101210954,0.105686751,0.108563318,0.114304066,0.107269444,0.116486885,0.117774048,0.099977675,0.104871155,0.113327365,0.10522173,0.135842822
Subject24_1.edf,0.104781831,0.114194422,0.14107462,0.120321741,0.102672925,0.099029952,0.118165175,0.109284763,0.123655036,0.1189442,0.126470387,0.141881702,0.12825226,0.134934802,0.129891401,0.131513356,0.138215069,0.122961743,0.129227465,0.14688718,0.091552829
