,EEG Fp1_Alpha_Beta,EEG Fp1_Theta_Alpha,EEG Fp2_Alpha_Beta,EEG Fp2_Theta_Alpha,EEG F3_Alpha_Beta,EEG F3_Theta_Alpha,EEG F4_Alpha_Beta,EEG F4_Theta_Alpha,EEG F7_Alpha_Beta,EEG F7_Theta_Alpha,EEG F8_Alpha_Beta,EEG F8_Theta_Alpha,EEG T3_Alpha_Beta,EEG T3_Theta_Alpha,EEG T4_Alpha_Beta,EEG T4_Theta_Alpha,EEG C3_Alpha_Beta,EEG C3_Theta_Alpha,EEG C4_Alpha_Beta,EEG C4_Theta_Alpha,EEG T5_Alpha_Beta,EEG T5_Theta_Alpha,EEG T6_Alpha_Beta,EEG T6_Theta_Alpha,EEG P3_Alpha_Beta,EEG P3_Theta_Alpha,EEG P4_Alpha_Beta,EEG P4_Theta_Alpha,EEG O1_Alpha_Beta,EEG O1_Theta_Alpha,EEG O2_Alpha_Beta,EEG O2_Theta_Alpha,EEG Fz_Alpha_Beta,EEG Fz_Theta_Alpha,EEG Cz_Alpha_Beta,EEG Cz_Theta_Alpha,EEG Pz_Alpha_Beta,EEG Pz_Theta_Alpha,EEG A2-A1_Alpha_Beta,EEG A2-A1_Theta_Alpha,ECG ECG_Alpha_Beta,ECG ECG_Theta_Alpha
Subject12_1,0.4625889,2.087810101,0.439068924,2.118902352,0.733902887,2.310985497,1.868835599,1.073069498,0.403944025,1.974579175,0.369277401,1.989798175,0.971245111,1.748075301,0.244545176,1.318135525,1.189118319,1.815322039,1.125996971,1.594151427,1.18754348,1.386094941,2.109673079,1.15078482,2.218127896,0.727491017,2.712954828,0.973502977,6.321396777,0.397658997,4.851426498,0.525389553,1.027007499,1.682434019,1.007945009,2.105165715,3.274026332,0.889158066,0.398045893,1.543104039,0.504960401,1.98992737
Subject11_1,0.677946094,2.174391329,0.523821085,1.746818566,0.780610366,1.760397249,0.820081335,1.878588082,0.857294363,2.388235822,0.741115345,1.794911275,0.707597673,1.764713182,0.641442175,1.450846127,0.860555264,1.745407237,0.681657377,1.844180981,0.617780383,1.965097093,0.758934446,1.622432547,0.79317135,1.846469592,0.839360196,1.639884123,0.921829438,1.487292378,0.918384202,1.438443272,0.767943474,2.109080012,0.754465565,2.004511608,0.838466633,1.681053905,0.543218674,1.84104135,0.421253435,1.645620563
Subject01_1,0.871652377,1.068460653,0.877035647,1.158915424,0.764641728,1.071863728,0.7298222,1.204665204,0.840900297,1.091809464,0.808973621,1.102615652,0.315797927,0.985643949,0.694143719,0.965302104,0.61841663,1.068321767,0.720573137,0.987821865,0.563478209,0.984643951,1.236185559,0.563204884,0.815401139,0.798882521,1.282784581,0.454701433,1.288944231,0.350795769,1.46944391,0.296457689,0.794924016,1.081215714,0.775680388,1.112680826,1.146061554,0.757878164,0.572514479,0.772611684,0.797879484,1.769463998
Subject13_1,0.646778741,1.872256463,0.681450277,2.221221973,0.6848556,1.914233921,0.661180985,2.226355307,0.748399994,2.129823578,0.587767525,1.863120285,0.746137214,1.860834723,0.744473096,1.679136604,0.896659137,2.195076223,0.789976278,1.940156443,0.587038004,1.816018637,0.764292921,1.392137299,0.919581418,1.948784034,0.98535949,1.676528426,0.992279886,1.771220095,0.974956052,1.711721115,0.779796171,2.41804388,0.910385349,2.216559822,0.967234036,1.932248053,0.725237432,1.722673591,0.738449297,2.375122167
Subject10_1,0.756759137,2.333298397,0.693363075,2.680869486,0.647307424,2.98621766,0.590798008,3.400773684,0.771162117,2.257765754,0.62434256,2.274876512,1.394798872,1.301575328,1.096062862,1.566744288,1.264902041,1.598948274,1.256507219,1.862523281,1.223732256,1.492184643,1.407138228,0.967402186,1.938436492,0.87647492,2.333443632,0.936609621,2.158619237,1.109958556,2.367725062,1.224826078,0.637102473,3.497840299,1.002061319,2.524968587,2.264644945,0.979774533,0.790734399,2.23697044,0.430926453,1.604705559
Subject14_1,0.509725875,1.063808293,0.951755083,1.064815233,1.638967459,0.86028837,1.347215779,0.841843588,0.770751459,1.471790422,0.915145632,1.206983977,0.940090685,0.990264744,1.140136533,0.809177505,0.873978343,1.110427386,0.92866221,1.180109752,1.219341735,1.042717417,2.00822208,0.405304175,1.304244852,0.534638798,1.523987335,0.423938111,2.188967657,0.22323433,1.891218224,0.274946105,1.236888131,1.288136725,0.766158337,1.533138118,1.109216264,0.429007409,1.488795068,0.447434113,0.32620317,1.881538864
Subject18_1,1.617643144,1.012170974,1.575967215,0.885883596,1.44798252,1.275613493,1.096301505,1.039648954,1.460196667,1.083135871,1.196457688,1.111816864,1.443063208,1.189425828,1.896146992,0.960214338,1.491594632,1.199484658,1.857808459,1.152098182,1.725730826,0.995525065,2.940774413,0.614507627,2.02409563,1.052412529,2.687283885,0.798629937,3.435630775,0.564871414,3.43906271,0.517670679,1.030434257,1.212897341,1.721794728,1.293302141,2.218978328,1.053462974,1.403028863,0.951573087,0.869475353,1.73690542
Subject02_1,0.327349984,0.559692877,1.274350903,0.638579162,0.98757699,0.643122927,0.890524884,0.602001374,0.343064536,0.504626891,0.497056867,0.671221206,1.272296857,0.612890374,1.365705581,0.578496814,1.334303127,0.614908413,1.271222943,0.684087526,1.479417214,0.445360752,1.548365939,0.55623316,1.666495739,0.437064588,1.755127852,0.470513193,1.741222163,0.30832247,2.007327891,0.36117604,1.212824938,0.631676673,1.388020429,0.682978678,1.649559882,0.498851003,0.864648852,0.458207581,0.352761193,1.091578935
Subject15_1,1.598758932,0.799748241,1.684737295,0.798942253,1.356648218,0.961003055,1.659585038,0.89189351,1.197452416,1.177865278,1.34771935,0.900845487,2.178931748,0.807265356,1.770744418,1.002871068,2.56632182,0.63525092,2.404731278,0.725362648,2.265534467,0.730538327,2.881097046,0.399423868,4.770396345,0.32732521,6.391971181,0.260782106,8.057176264,0.160507285,6.777661367,0.159960201,1.731411331,0.838990614,2.432699278,0.564214563,6.403541153,0.238442934,1.071258761,1.263346339,0.412022241,1.303645091
Subject16_1,1.018793465,1.534041529,0.943754955,1.696346378,1.038717212,1.390372108,0.835770191,1.634932908,1.040479457,1.396316004,0.801333659,1.542919952,1.669059106,0.815270874,1.030169822,1.414426746,1.311038038,1.023427835,1.294990496,1.111437875,1.432297723,0.765764715,1.275795254,0.967689244,1.944200517,0.714874031,2.063143607,0.775305767,2.918994058,0.460464407,2.810610008,0.565582385,0.987611744,1.507413779,1.124902644,1.276456587,2.026670404,0.819390292,0.779875543,1.54718332,1.065297078,1.803088301
Subject19_1,2.271403336,0.415171499,2.486696986,0.354753593,2.044618513,0.406514616,2.008416676,0.444451604,1.954122308,0.433469467,2.551549421,0.351224193,2.617729425,0.366227345,1.784434085,0.610750646,2.648815634,0.295340261,2.311416287,0.313514599,2.893602374,0.37651012,5.462637284,0.233482005,5.792443544,0.183811143,5.594676205,0.181940283,7.391917056,0.136609466,6.56450782,0.162024115,2.032520604,0.478030019,1.632676824,0.393868558,5.545106327,0.165550026,1.38775197,0.468799952,0.31852775,1.808754931
Subject25_1,2.296200067,1.414522244,2.376244317,1.525777568,3.398656999,1.132412338,3.256245154,1.169576201,1.75366087,1.280350731,1.999415861,1.264754435,4.355978152,0.564331764,2.824132251,0.872773785,5.4585821,0.638267818,5.118181433,0.8944579,4.892556276,0.489706955,4.002598455,0.666176419,8.460769328,0.336960813,6.984001027,0.399806384,4.501514169,0.426909227,5.0479212,0.420372134,3.646038416,1.163140508,6.090115115,0.899472861,7.837238193,0.400054564,0.787738742,1.863977569,0.344184791,1.044419172
Subject26_1,1.21179129,1.320960369,1.17238274,1.247128585,1.793637441,1.22658448,1.665777674,1.248574517,1.218839184,1.568327841,1.586325294,1.195840959,2.205552801,0.923132336,1.866765086,1.112257752,2.341173718,1.011027133,2.28777096,1.162208163,3.070894708,0.821092897,2.283114187,0.950581781,5.62077783,0.528925519,4.647386877,0.575242405,8.855087042,0.424000738,8.175498499,0.42863133,1.779296764,1.296460389,2.34506478,1.022190713,4.937620783,0.558282439,0.64778454,1.894378566,0.286040959,2.106333822
Subject24_1,1.137926699,0.862290225,1.117247634,0.934582465,1.187233038,0.744347009,1.180927294,0.971133866,1.010327527,0.896368096,0.985704329,1.117811437,1.001401989,0.947185534,1.114367953,1.000479785,1.340777724,0.793690976,1.368990899,0.796507273,1.021358599,0.792514798,1.598654246,0.397348336,2.219961525,0.343409782,2.58224729,0.196256338,2.895058148,0.192615691,3.309171361,0.124693622,1.244861233,0.875128534,1.392938343,0.832865827,2.626382615,0.22723968,0.776932905,1.337223286,0.871966906,1.662616248
Subject20_1,0.780792904,0.880193163,0.739007941,0.874714851,0.827993981,0.611643435,0.749027094,0.521823304,0.815402168,0.676977504,0.685133472,0.753779159,1.579253438,1.876890096,1.022277917,0.639855612,0.970856198,0.530208005,1.011597084,0.798210036,1.351873234,0.656105548,1.176245297,0.445446578,1.209190825,0.474867256,1.526694551,0.326820134,1.465642665,0.267726422,1.714889904,0.235833737,0.908808,0.777294234,1.115050335,0.696443187,1.428157729,0.342671284,0.915380914,0.895191294,0.447953953,0.914176698
Subject21_1,1.28009695,1.672553195,0.827349623,1.167709723,1.272067543,0.912221445,1.199432651,1.261721757,1.003224291,1.026393087,1.081089791,1.034730278,1.287135743,0.876932185,1.032472394,1.42379243,1.373784281,0.92682098,1.29956703,1.160597202,1.271513555,0.825143502,1.21937085,0.660976416,1.553958091,0.686305239,1.453092539,0.679422733,1.843356304,0.389156252,1.846645489,0.387082791,1.34743873,0.969583506,1.33290827,0.980959665,1.507642464,0.660619032,1.045099842,0.784784267,0.589202741,1.639786498
Subject29_1,2.451897923,0.377181912,2.244812816,0.387128887,2.313639259,0.360451744,2.070414885,0.396529096,2.086604942,0.396621968,1.705230072,0.461804017,1.632224712,1.653028373,2.208810719,0.427468062,2.053669722,0.412113485,2.135047509,0.436400202,1.852885797,0.471845847,3.316979281,0.251480899,3.124150476,0.306712613,3.424731505,0.298325535,4.811917631,0.179214616,5.825596091,0.163157934,2.203373793,0.382273558,2.339496159,0.416549803,3.905708313,0.270032512,1.152237439,0.66115636,0.371450645,1.757117813
Subject32_1,2.488334911,0.837827149,1.690091157,1.546464631,2.256084131,1.281410151,2.166160175,1.302192725,1.624441564,1.364498028,1.413371855,1.595818968,2.829455482,1.069758902,3.371380285,0.996609358,3.031614651,1.125179562,2.909426915,1.16268252,2.393896982,0.899634666,5.027186293,0.742408348,2.878643615,0.965706427,3.107130304,0.930433111,1.721281906,0.788962656,2.130778165,0.864064323,2.266936419,1.278875805,2.743528196,1.219705197,2.622421932,1.076602903,1.201601089,1.108128218,0.409012122,1.094313289
Subject28_1,1.262920002,1.0087624,1.338488416,0.835809812,1.146287826,1.021125479,1.161519093,0.918255589,1.39868285,0.923545336,1.152742236,1.627299362,1.318798395,0.637518473,1.067208248,0.818950133,1.231475398,0.809267046,1.213764916,0.812104917,1.264647748,0.454896716,1.246149931,0.739690979,1.352639179,0.537315005,1.506067831,0.552836472,1.673501588,0.361387359,2.586921699,0.384094829,1.210574652,1.078598212,1.173780744,0.809021297,1.648841308,0.507251603,0.855998052,1.15298087,0.582023068,1.512096596
Subject03_1,1.908760506,0.746702124,2.425897401,0.630851333,2.670921586,0.699157386,2.624276446,0.683905621,2.01914866,0.695740856,2.100374754,0.744877657,2.695128608,0.649436615,2.376122887,0.674865414,3.146572867,0.816793105,3.340902424,0.666679852,3.756568954,0.510974746,3.902379981,0.416812818,3.990052984,0.541368497,4.387460614,0.475513563,6.146159945,0.381726418,3.886348925,0.466462597,2.883446906,0.650822095,3.510259284,1.213322269,6.071922797,0.458919136,1.889192246,0.668845004,0.684227495,1.361347263
Subject30_1,2.121348193,0.557368778,1.792778438,0.603108262,1.749513988,0.675579516,1.826982049,0.605162276,2.082583597,0.565513496,1.514015981,0.752528501,1.287985156,0.644324115,2.232700866,0.760987156,2.203467933,0.574857319,2.436191346,0.820899136,2.725162813,0.427513937,2.347354933,0.422521457,3.959523062,0.406555127,5.453325591,0.354635052,5.819868496,0.298113737,5.844123987,0.341984262,1.727397894,0.772942502,2.476017912,0.61292777,5.486333692,0.397331874,1.503744125,0.597959998,0.347052932,1.727415124
Subject27_1,1.783259439,1.256665375,1.577444604,0.999111612,2.010102025,1.161656153,1.899079531,0.987826139,1.697920084,1.08866005,1.587189432,0.669286777,1.707014215,0.877047869,1.216517873,0.669791347,1.878853358,0.832992136,1.667411567,0.760480145,1.321302683,0.832676913,2.065966042,0.419355114,1.75752737,0.735494213,2.188324053,0.501183299,3.571249149,0.411301328,4.294356872,0.338493016,2.050769288,1.167833544,1.894398689,0.774820136,2.212495742,0.599639728,0.806742822,1.295545552,0.755325519,1.573469843
Subject06_1,1.002839527,1.533586941,0.909940399,1.767051439,0.915396864,1.586205357,0.993334141,1.369617367,0.837427725,1.744491416,0.985474958,1.341890007,1.059850471,1.173970098,1.817711278,0.666296727,1.330215511,0.980233536,1.629371282,0.855627465,0.987889079,0.920553259,2.581594649,0.390064408,1.741058913,0.494725774,2.598631921,0.45242404,1.619211748,0.378217351,2.787579938,0.358544762,1.011972558,1.475250152,1.438813443,1.031152227,2.023082002,0.512365727,1.157741124,0.735113744,0.332058444,1.981496569
Subject04_1,0.684494831,1.878337567,0.690357865,1.723572294,0.675070068,1.629936581,0.638771335,1.538186453,0.731626274,1.784979139,0.75168038,1.70640516,0.880583913,1.401333998,1.181241577,1.092594106,1.318612824,0.896479216,1.043541081,1.040244291,1.195893392,1.19302154,1.491689974,0.8965235,1.883504249,0.670302538,2.268526686,0.586727825,2.117048,0.507165898,2.20002408,0.568920812,0.640424626,1.75566607,1.097172941,1.034235292,2.187556225,0.519341438,1.013227675,1.394475105,0.578841695,1.094051111
Subject34_1,1.616618745,0.65971136,1.672682412,0.670128652,1.464977238,0.865567248,1.92933649,0.634303873,1.545135901,0.72855953,1.451578471,0.721280273,2.695595543,0.405985861,1.667435396,0.582336093,1.694496307,0.660275195,1.581557402,0.575194511,2.177497547,0.492752481,1.509802847,0.754034243,2.686467065,0.386847695,2.113472745,0.462966022,3.124692871,0.292162429,1.78976751,0.393354745,1.864864755,0.642648957,1.310202687,0.790574703,2.460519047,0.49863639,0.758139584,0.822678933,0.553884725,1.906273355
Subject35_1,0.673687217,1.55988742,0.609004613,1.529314701,0.623840009,1.803353464,0.553526225,1.949052179,0.596521924,1.792395013,0.480141163,1.573303539,0.637374767,1.119048473,0.479520893,1.883238561,0.645012101,1.669102457,0.615958951,2.050582129,0.547194871,1.311294843,0.604713768,1.127346997,0.655568842,1.107612319,0.81985461,1.011274751,0.92846593,0.449160084,1.088019023,0.530078872,0.652046174,1.673807837,0.699389985,2.01687116,0.832899089,0.957198949,0.563722351,1.441475091,0.429076652,0.662559481
Subject33_1,1.975424252,0.94111991,2.043969877,0.926156473,2.056828464,0.878079882,2.035867946,0.882352604,1.623531537,1.439897045,2.006156495,0.683199414,2.150064081,0.701917081,1.943243459,0.800964208,2.515206698,0.582903756,2.321369917,0.665795058,2.422317713,0.506489557,3.627586557,0.24619149,3.459212173,0.208690095,4.132348649,0.213032936,4.182214753,0.12953082,4.243531694,0.172754112,2.171312969,0.816929314,2.327493417,0.703864905,3.852948395,0.222047827,1.143899395,1.979628845,0.550317381,0.459359432
Subject07_1,0.94022539,1.873665131,0.865764353,1.769666878,1.125615329,2.104531367,1.073973635,1.944232827,0.93990374,1.98966265,0.818452109,1.773356437,1.707020807,2.105567845,1.637856838,1.46634174,1.617531507,2.131427536,1.79990604,1.843172783,1.496058907,1.671127652,1.964659088,1.31034448,2.968215111,2.002664252,2.793372748,1.897333389,1.912690838,2.029405601,2.030864402,1.872188584,1.268728265,2.051944487,1.91100523,2.261281881,3.581996454,2.154698885,0.659990864,1.105044515,0.467166011,1.30130897
Subject05_1,1.874284167,1.136818814,1.581359046,1.05053831,2.253806693,1.037553748,2.179167567,1.09464233,2.187596057,0.907419174,1.728319213,1.131231675,2.303617783,0.791182849,2.722535087,0.692991947,3.021019763,0.68910109,3.609651007,0.592739425,2.299781681,0.487429402,4.093210186,0.547747786,5.394126711,0.300693121,6.984590002,0.242858989,9.655648133,0.199958896,10.34007962,0.174202355,2.205438702,1.098175105,3.073250837,0.766362388,6.245873423,0.288884637,1.139799902,0.942459038,0.370850594,1.328241448
Subject09_1,2.123056516,1.124923454,2.735377564,1.122377018,3.187957172,1.611783339,3.364593039,1.452193946,1.942132612,1.301883123,2.214557482,1.036629103,1.801398844,1.750941698,2.383405184,1.436941325,2.85894742,1.665733508,3.626956682,1.441998762,1.760737624,1.415949054,2.100154092,0.768142211,2.157308032,1.345020068,3.731743949,0.899680973,3.927138295,0.630428312,4.498123443,0.456151551,3.505815398,1.628042872,3.908967965,1.638353905,4.295624788,0.97583558,1.126109657,1.204146868,0.410443495,1.046860045
Subject08_1,1.933540779,0.685712524,1.813304433,0.702512649,2.600465874,0.659587388,2.417077392,0.689546985,2.282304446,0.72853416,2.041498619,0.674437274,2.091306403,0.605990053,2.709689907,0.440644586,2.569811157,0.558394531,2.580976497,0.550262067,2.287717293,0.49293841,2.721581399,0.291859084,2.114299729,0.352676883,2.439875196,0.314936066,2.240213105,0.231492862,3.063288084,0.192907776,2.830565953,0.69705743,2.765141573,0.61504668,2.427280971,0.323722668,2.230273583,0.621038223,0.586376448,1.532074091
Subject31_1,1.365114209,0.889269442,1.56806978,0.996080515,1.920702546,0.832900051,1.821247472,0.936713617,1.672508043,0.850285511,1.648247963,0.93918982,1.801832425,0.802797348,2.437652955,0.782963159,2.077232868,0.79653594,2.111992746,0.918137188,1.457761469,0.833739972,2.203510101,0.667762075,2.038898166,0.616103763,2.499672397,0.587429075,3.123014542,0.382615577,4.029689006,0.334723289,1.958802047,0.888754531,2.150360429,0.861023421,2.619782619,0.582031495,0.722864073,1.082729357,0.789908979,1.963710659
Subject17_1,0.956477353,1.108288039,0.521186145,1.012541764,1.003739682,1.111746827,1.117745076,1.151648011,0.861632412,1.102756983,0.877526814,1.185022229,0.958725124,1.070047939,1.032714265,1.210322805,0.971554726,1.297640115,0.876770535,1.584227846,1.070991588,0.853860299,1.903890839,2.108785989,1.468793045,0.682129737,1.670491468,0.682808596,1.814141979,0.563083395,1.83493664,0.526451222,1.115503085,1.277604437,0.927795169,1.614374863,1.352637439,0.772354587,0.497890075,1.069237747,1.035300077,1.483640841
Subject22_1,1.566767236,0.290732723,1.704730428,0.366158469,1.335933353,0.369271877,2.720233501,0.379985209,1.327590967,0.38357627,1.375443438,0.263727291,1.487732929,0.279114684,1.429314477,1.070475011,1.598787337,0.284315741,1.706959205,0.444238141,1.71997453,0.233153499,1.807073634,0.944466342,2.046539816,0.15775686,2.173318455,0.162575376,2.961790582,0.081362557,2.72753184,0.101189253,1.446368852,0.423381534,1.78053727,0.29079323,2.352746592,0.152437803,1.461875917,0.511992972,0.416244162,1.011349557
Subject00_1,2.202454448,0.331868791,2.013646644,0.352015078,2.060011283,0.345532318,2.041166107,0.375939155,1.638620689,0.520541481,1.620706953,0.428976514,1.640963247,0.44227663,2.113648056,0.288880723,1.774971305,0.398039892,1.778248037,0.413626324,1.679421056,0.357365643,2.454396362,0.169792577,1.800912259,0.286217423,2.521459414,0.186914107,2.113877376,0.229541376,3.773851246,0.130447472,2.062863233,0.375643605,1.860992881,0.550681499,1.917548829,0.280632075,2.10834379,0.345600004,0.975225816,1.32485731
Subject23_1,3.03469088,0.865871944,2.309476499,0.922957768,2.622204297,0.840939063,2.453022087,0.919898961,5.045595763,0.367745869,2.287396979,0.953643259,3.218147607,0.44120936,1.543956425,0.862524811,3.013470206,0.834017827,2.570731182,1.027082982,3.839067811,0.554600033,3.460466111,0.887915388,4.079539517,0.793519605,3.74262574,0.923416384,7.269739689,0.554439424,6.832655341,0.642680632,2.946543035,0.882196511,2.818655827,1.103998029,3.646640845,1.134423681,1.434732541,0.701501496,0.426424778,1.322312928
Subject11_2,0.567468705,1.801864185,0.483273245,1.653122649,0.619554654,1.578621769,0.619998422,2.08014944,0.895343917,1.928056699,0.498237942,1.713310525,0.783723288,1.482297362,0.774575559,1.512410326,1.014176641,0.931695166,0.632715299,1.459074887,0.629856999,1.281066877,0.970962129,1.377956172,0.758074794,1.551188114,0.72114636,1.421517237,0.797424658,1.135405914,0.953328418,0.720412109,0.683678324,2.360494474,0.645360107,1.899165384,0.731555576,1.495400023,0.519313512,0.979554098,0.404467491,1.539701838
Subject12_2,0.705498264,0.986871256,1.087600151,0.922157876,1.694769019,1.183348361,2.086647727,1.050019929,0.659486991,0.919266641,1.012879978,0.941688642,2.321460191,0.728786307,3.033037398,0.9564171,3.517558745,0.770203301,3.038956651,0.723868162,3.05669585,0.533873771,5.872215159,0.403210102,6.27510539,0.419671738,8.615986004,0.40274734,15.48334293,0.244977967,13.11027675,0.286865931,1.968332196,0.988187024,3.147102644,0.879458318,11.09332602,0.379969351,0.859842601,0.69309351,0.4888698,1.871544848
Subject10_2,0.924536177,1.40555602,0.773125059,1.815627022,1.003045245,1.979235544,0.93732465,1.913768271,0.848219163,1.550921092,0.920796152,1.669650126,1.297823201,0.563221022,1.142660784,0.656089868,1.744499808,0.570079718,1.517951815,0.629192538,1.304738284,0.492496963,1.752166572,0.408515549,2.353056325,0.187788151,2.484901609,0.196129967,3.438229377,0.106592362,3.590364623,0.113237419,1.115626539,2.376207664,1.651192451,0.877655313,2.630188704,0.172075445,0.715137917,0.968188596,0.424878104,1.621717495
Subject02_2,0.252523674,0.763798797,0.798218911,0.689299689,0.745662833,0.659740006,0.917393189,0.715490643,0.29041495,0.669647994,0.602434285,0.745130818,0.684353104,0.675181232,0.909982927,0.551737544,1.05530889,0.70089564,1.10792245,0.704044009,0.740218838,0.513915979,0.98256063,0.524618101,0.922954635,0.514417341,1.085868503,0.553036639,0.840625509,0.286176789,1.304322029,0.267096071,0.928283743,0.780197089,1.242161928,0.734927113,1.131612221,0.532145864,1.627803321,0.653856401,0.256075188,1.48893489
Subject18_2,0.88809003,0.952167342,0.730448356,0.941175069,0.778827829,1.143096643,0.557523103,1.527896665,0.810379199,1.103849757,0.867663421,0.94209216,0.877478,1.291809642,0.827537574,1.167636857,0.52182344,1.30217824,0.810423221,1.54335757,0.912206304,1.100800517,1.250876004,0.57054165,1.090239749,1.184507487,0.896477263,1.09906941,1.13773473,0.90510709,1.146983616,0.631832837,0.427004294,1.395770614,0.860951086,1.73206979,0.877086382,1.344055574,0.977404815,0.766357743,0.809362743,1.534835604
Subject16_2,0.612604698,2.085941592,0.460538705,1.979268968,0.639764172,2.291025753,0.476359635,2.494704163,0.502642549,1.897771126,0.525269339,2.102696514,0.684904957,1.47124265,0.476661336,2.637748903,0.745009013,1.937721982,0.992651748,1.377929084,0.637616326,1.524361153,0.545593661,1.284186212,0.921314727,1.295838642,1.070478258,1.154288451,1.056045842,0.972584564,1.190371727,0.973839532,0.665509471,2.586354155,0.823992536,1.795358001,1.00653351,1.264972083,0.455910346,2.547667825,1.103031951,1.576427297
Subject19_2,1.180419237,0.680679284,1.018581392,0.704958229,1.389919629,0.839321274,1.395903023,0.806631838,1.103789622,0.955200155,0.762217781,0.956667047,1.197096598,0.694740559,0.465825712,0.656375157,1.219532981,0.784880783,1.118566049,0.824608571,1.164163407,0.596340772,1.346282299,0.33892611,1.557574094,0.75238161,2.050484733,0.497871615,2.604671802,0.274466004,2.12862722,0.331373361,1.403382542,0.874764551,1.261757258,0.774141129,1.532870405,0.8179322,0.72234182,0.760395395,0.333735172,1.57071247
Subject17_2,1.356000583,1.485660711,0.638653594,1.425693069,1.504855553,1.134607921,1.866840893,1.002711565,1.12035259,1.236601672,1.065457159,1.401107977,0.868886653,1.313600245,1.606056374,0.873616193,1.210166394,1.407564047,0.937333772,2.073016599,0.591056031,1.258162416,3.23786909,1.79134611,1.058020329,0.898257205,2.02394121,0.578316678,1.692360533,0.469889673,1.715888279,0.479932023,1.819641331,1.134117751,1.47466706,1.439883125,0.943903078,1.524954083,0.447406453,1.161366626,0.926582306,1.715659654
Subject21_2,1.237372841,1.014806476,0.768799178,1.608496901,1.583813323,0.693207306,1.033377221,0.880209525,1.33107414,1.437939196,0.964821273,1.047136074,1.572059112,0.523267995,0.691852134,1.426048768,1.403263022,0.702286091,1.085248543,1.349377462,1.624216654,0.65173927,0.90367843,0.750873364,1.863570819,0.568674922,1.220805742,0.658161709,2.822520311,0.369198127,2.186720508,0.502594014,1.363955359,1.211913228,1.314928089,0.916052005,1.43671365,0.812463663,0.950678319,1.101611908,0.558275359,1.436476838
Subject23_2,2.869471851,0.95470827,1.982518256,1.134601383,2.864729824,0.83610457,2.618443867,0.763067702,1.568251246,0.771402746,2.237897342,0.822427495,2.182987305,0.650723802,1.41644471,0.67159491,2.581011283,0.68772101,2.200845871,0.801368968,2.68589156,0.52216202,2.716605729,0.538274252,2.94571662,0.611601759,2.874581762,0.653572047,5.608528323,0.392634382,6.493830912,0.44844011,2.848474381,0.761430453,2.599577986,0.776498832,2.456049818,0.816494297,1.092924344,0.681160059,0.464334834,1.156834416
Subject26_2,1.451762687,1.1579524,2.09339566,1.082766482,1.991326744,1.258036661,1.623287488,1.051481606,1.44309845,1.522251874,1.952186675,1.014696583,1.428634141,1.580054352,1.423299377,1.480549292,1.685558041,1.631185776,1.851468667,1.833009333,2.556388204,0.81492699,2.501220181,0.61109791,3.338516188,0.659649948,3.158008563,0.565980925,7.518841015,0.279944288,7.443537348,0.24894508,2.105936366,1.115385179,1.982286872,1.334600476,2.967214436,0.66240456,0.423870633,1.927127286,0.287223457,1.61749745
Subject22_2,1.351888099,0.789265071,1.36587023,0.776719518,1.327907344,0.741364809,1.957334825,0.896801933,1.242558304,0.716050269,1.261495564,0.831554758,1.119712797,0.628331748,0.959972442,1.088326659,1.258943763,0.560496996,1.321402947,0.777854718,0.908165715,0.609448047,1.017759601,0.659707133,0.958878714,0.631287012,1.15660294,0.450186284,1.029824737,0.331225402,1.117523545,0.477403883,1.39791764,0.847644805,1.412269536,0.614513125,1.087877066,0.496742683,0.867689468,0.636038035,0.421247246,0.793045879
