,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
Subject12_1.edf,1.147275777,1.148727408,1.116704345,1.072337636,1.156068164,1.151798558,1.117692233,1.099839784,1.081452276,1.072563315,1.13144114,1.07258382,1.072082288,1.063832327,1.041931815,1.041559779,1.094492893,1.074056336,1.053054165,1.186889856,1.070882542
Subject11_1.edf,1.121075628,1.135385582,1.091456963,1.089974839,1.098549687,1.095536921,1.093185456,1.096987822,1.095138081,1.091581307,1.101262943,1.095267943,1.09335807,1.086332128,1.08489411,1.087478312,1.091134162,1.093863685,1.090042459,1.089832084,1.088790856
Subject01_1.edf,1.097257634,1.096860818,1.083095061,1.070141799,1.102005127,1.089660024,1.147376108,1.078731761,1.087093509,1.068054344,1.119608666,1.092988057,1.077513228,1.058939141,1.06243991,1.049537448,1.069673512,1.07519386,1.059946749,1.153417492,1.114973926
Subject13_1.edf,1.12981894,1.126187719,1.118679279,1.130767548,1.113059778,1.16460927,1.124439651,1.135412888,1.112894587,1.164439267,1.151482262,1.186567468,1.148200573,1.111984423,1.132218869,1.152614013,1.114284708,1.117849829,1.111941353,1.176741181,1.155375432
Subject10_1.edf,1.093513493,1.098824284,1.083542628,1.101748811,1.098960322,1.105459397,1.08835801,1.088668302,1.078738189,1.071992894,1.102856552,1.091131655,1.075556512,1.06627641,1.078986123,1.062490769,1.076537637,1.07647986,1.066740129,1.133455821,1.093133964
Subject14_1.edf,1.172151907,1.118483294,1.0706348,1.080003898,1.119985756,1.116737755,1.104274636,1.095469407,1.080896196,1.09091734,1.115979724,1.080076551,1.055323119,1.070363907,1.065101274,1.066350422,1.073108576,1.090112177,1.074688174,1.068897968,1.188759984
Subject18_1.edf,1.102457716,1.075720105,1.071190027,1.084145718,1.105398591,1.085127609,1.087005133,1.07424715,1.06401938,1.067578498,1.112060553,1.102545034,1.066515484,1.064122048,1.077459966,1.069704243,1.07974798,1.075088724,1.063732326,1.086994257,1.121095545
Subject02_1.edf,1.182273316,1.129654615,1.120752541,1.165642193,1.179487737,1.173616605,1.1437156,1.126400568,1.110991952,1.099595022,1.136461863,1.11210231,1.106619259,1.091235005,1.117909601,1.075320367,1.099910315,1.101581742,1.099508191,1.159677568,1.176393531
Subject15_1.edf,1.039637969,1.040496043,1.026899657,1.021257421,1.073180854,1.057991892,1.015136327,1.043355823,1.012185337,1.0163738,1.01561866,1.007277671,0.975340291,0.971467831,0.971832742,0.967695837,1.017546564,1.017068914,0.973878167,1.114661176,0.99062286
Subject16_1.edf,1.09176423,1.092736741,1.083609674,1.091323464,1.100272267,1.11713177,1.093840562,1.148447362,1.074569864,1.081281853,1.085043669,1.138602883,1.057176568,1.054644948,1.025241499,1.030677479,1.078807935,1.078061694,1.0461557,1.140998855,1.097415184
Subject19_1.edf,1.083948695,1.087875869,1.062945852,1.073718068,1.089640025,1.08354829,1.058526688,1.113310198,1.046747048,1.062124918,1.056765725,1.034681188,0.990825446,1.007091702,1.01089966,1.026494033,1.064036026,1.069591363,1.001872479,1.148676559,1.125876455
Subject25_1.edf,1.094309344,1.067062566,1.052067969,1.039938322,1.142254453,1.112065127,1.043311762,1.092213047,0.990676366,0.996447528,1.017369278,1.029642413,0.952777017,0.954743486,0.988199842,0.970553616,1.032276337,0.992690715,0.958588395,1.138470192,1.092198792
